"('DT Christian', 'JJ Bumrah')","[3, 2, 2, 0, 0, 0, 0, 0]"
"('SR Watson', 'SB Joshi')","[5, 3, 0, 0, 1, 0, 1, 0]"
"('KV Sharma', 'GB Hogg')","[1, 4, 0, 0, 0, 0, 0, 0]"
"('OA Shah', 'Bipul Sharma')","[3, 1, 0, 0, 0, 0, 1, 0]"
"('JP Duminy', 'KK Cooper')","[2, 1, 0, 0, 0, 0, 0, 0]"
"('CL White', 'R Sharma')","[8, 9, 0, 0, 3, 0, 3, 0]"
"('YS Chahal', 'BCJ Cutting')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('IR Jaggi', 'L Balaji')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('Joginder Sharma', 'PP Ojha')","[1, 2, 0, 0, 0, 0, 0, 0]"
"('CL White', 'S Nadeem')","[9, 13, 2, 0, 1, 0, 1, 0]"
"('RN ten Doeschate', 'M Morkel')","[1, 1, 0, 0, 1, 0, 1, 1]"
"('Shoaib Malik', 'DS Kulkarni')","[2, 3, 1, 0, 1, 0, 0, 0]"
"('KV Sharma', 'L Balaji')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('R Sathish', 'B Kumar')","[2, 2, 1, 0, 0, 0, 0, 1]"
"('Shakib Al Hasan', 'R Dhawan')","[0, 3, 0, 0, 0, 0, 0, 0]"
"('TL Suman', 'JD Ryder')","[0, 2, 0, 0, 0, 0, 1, 0]"
"('N Rana', 'Mohammed Siraj')","[2, 0, 0, 0, 2, 0, 0, 0]"
"('N Rana', 'I Sharma')","[4, 5, 0, 0, 1, 0, 2, 0]"
"('Mandeep Singh', 'KMDN Kulasekara')","[7, 4, 0, 0, 2, 0, 0, 0]"
"('IK Pathan', 'R Dhawan')","[3, 3, 0, 0, 0, 0, 0, 2]"
"('TM Head', 'KV Sharma')","[2, 2, 0, 0, 0, 0, 0, 0]"
"('KC Sangakkara', 'AB Agarkar')","[7, 9, 3, 0, 2, 0, 0, 0]"
"('SA Yadav', 'BCJ Cutting')","[0, 2, 2, 0, 0, 0, 0, 0]"
"('AC Gilchrist', 'DE Bollinger')","[9, 2, 1, 0, 1, 0, 0, 1]"
"('JM Kemp', 'Jaskaran Singh')","[1, 0, 0, 1, 1, 0, 0, 0]"
"('F du Plessis', 'KK Cooper')","[6, 7, 1, 0, 1, 0, 0, 1]"
"('DJ Bravo', 'IK Pathan')","[10, 6, 1, 0, 1, 0, 0, 0]"
"('TM Dilshan', 'AD Mathews')","[5, 4, 1, 0, 1, 0, 0, 0]"
"('R Sathish', 'SB Jakati')","[4, 1, 1, 0, 0, 0, 0, 1]"
"('A Symonds', 'BJ Hodge')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('JEC Franklin', 'J Syed Mohammad')","[3, 1, 0, 0, 0, 0, 0, 0]"
"('LR Shukla', 'DJ Bravo')","[9, 5, 0, 0, 3, 0, 1, 1]"
"('Shoaib Akhtar', 'DJ Bravo')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('EJG Morgan', 'SL Malinga')","[4, 4, 1, 0, 1, 0, 0, 0]"
"('DP Nannes', 'Harbhajan Singh')","[3, 0, 0, 0, 0, 0, 0, 1]"
"('MK Tiwary', 'SK Trivedi')","[1, 10, 0, 0, 2, 0, 0, 1]"
"('AB de Villiers', 'Shakib Al Hasan')","[4, 8, 3, 0, 1, 0, 2, 0]"
"('GJ Bailey', 'K Santokie')","[2, 1, 1, 0, 1, 0, 1, 0]"
"('Harbhajan Singh', 'Sandeep Sharma')","[3, 5, 0, 0, 0, 0, 0, 0]"
"('Bipul Sharma', 'J Botha')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('Niraj Patel', 'SS Sarkar')","[0, 3, 0, 0, 0, 0, 0, 0]"
"('BJ Haddin', 'J Syed Mohammad')","[4, 0, 0, 0, 0, 0, 0, 1]"
"('AM Rahane', 'PJ Sangwan')","[12, 0, 2, 0, 3, 0, 0, 2]"
"('R Bishnoi', 'VS Malik')","[4, 2, 0, 0, 1, 0, 1, 0]"
"('A Flintoff', 'DW Steyn')","[2, 4, 0, 0, 1, 0, 1, 0]"
"('SR Watson', 'VRV Singh')","[2, 4, 0, 0, 0, 0, 0, 0]"
"('IR Jaggi', 'J Botha')","[2, 3, 1, 0, 1, 0, 0, 0]"
"('JD Ryder', 'DJ Bravo')","[3, 3, 1, 0, 1, 0, 1, 0]"
"('Gurkeerat Singh', 'IK Pathan')","[1, 5, 2, 0, 0, 0, 3, 0]"
"('BJ Hodge', 'RG Sharma')","[1, 2, 0, 1, 1, 0, 0, 0]"
"('DS Kulkarni', 'RA Jadeja')","[3, 4, 1, 0, 1, 0, 0, 0]"
"('MK Pandey', 'A Symonds')","[7, 10, 1, 0, 0, 0, 1, 0]"
"('AB de Villiers', 'CL White')","[1, 1, 0, 0, 0, 0, 0, 1]"
"('S Sriram', 'PP Chawla')","[2, 0, 0, 0, 0, 0, 0, 1]"
"('CH Gayle', 'DJ Hussey')","[1, 4, 0, 0, 0, 0, 0, 0]"
"('A Symonds', 'JR Hopes')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('DJ Bravo', 'BB Sran')","[2, 2, 0, 0, 0, 0, 0, 2]"
"('LMP Simmons', 'MA Starc')","[1, 5, 0, 0, 1, 0, 0, 0]"
"('Ankit Sharma', 'D Wiese')","[0, 1, 0, 0, 1, 0, 0, 0]"
"('A Choudhary', 'MM Sharma')","[2, 2, 0, 0, 0, 0, 0, 1]"
"('SM Pollock', 'Yuvraj Singh')","[1, 0, 0, 0, 0, 0, 0, 1]"
"('EJG Morgan', 'CH Morris')","[4, 7, 1, 0, 2, 0, 1, 0]"
"('SK Warne', 'PP Chawla')","[2, 2, 0, 0, 1, 0, 0, 0]"
"('AT Rayudu', 'PD Collingwood')","[2, 6, 0, 0, 0, 0, 0, 0]"
"('SK Raina', 'GJ Maxwell')","[5, 6, 0, 0, 0, 0, 0, 1]"
"('WP Saha', 'KV Sharma')","[9, 16, 2, 0, 3, 0, 0, 0]"
"('SR Tendulkar', 'AB McDonald')","[2, 4, 0, 0, 0, 0, 0, 0]"
"('R Bhatia', 'SB Jakati')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('DA Miller', 'PP Ojha')","[4, 5, 1, 0, 1, 0, 1, 0]"
"('G Gambhir', 'BA Bhatt')","[7, 11, 4, 0, 4, 0, 0, 0]"
"('KK Nair', 'R Vinay Kumar')","[8, 3, 0, 0, 1, 0, 0, 1]"
"('CA Pujara', 'AC Voges')","[3, 4, 0, 0, 0, 0, 1, 0]"
"('MK Pandey', 'A Ashish Reddy')","[0, 2, 0, 0, 0, 0, 0, 0]"
"('Gurkeerat Singh', 'S Ladda')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('RV Uthappa', 'R Ashwin')","[19, 24, 1, 0, 4, 0, 5, 3]"
"('RG Sharma', 'KA Pollard')","[4, 5, 3, 0, 1, 0, 1, 1]"
"('S Dhawan', 'Shivam Sharma')","[2, 3, 0, 0, 0, 0, 0, 0]"
"('RA Jadeja', 'S Kaul')","[1, 6, 0, 0, 1, 0, 0, 0]"
"('NL McCullum', 'SR Watson')","[2, 1, 1, 0, 0, 0, 0, 0]"
"('M Kartik', 'STR Binny')","[0, 2, 0, 0, 0, 0, 0, 0]"
"('AA Jhunjhunwala', 'R Sathish')","[1, 2, 0, 0, 0, 0, 0, 0]"
"('PJ Cummins', 'KV Sharma')","[1, 1, 1, 0, 0, 0, 0, 0]"
"('V Kohli', 'R Sharma')","[7, 22, 1, 0, 1, 0, 3, 1]"
"('CL White', 'AB Agarkar')","[4, 1, 1, 0, 0, 0, 0, 1]"
"('SK Raina', 'Harmeet Singh')","[5, 8, 1, 0, 2, 0, 0, 1]"
"('SR Tendulkar', 'SK Trivedi')","[14, 25, 4, 0, 3, 0, 2, 1]"
"('MS Dhoni', 'TA Boult')","[5, 3, 1, 0, 2, 0, 0, 1]"
"('SPD Smith', 'Shakib Al Hasan')","[3, 6, 0, 0, 0, 0, 0, 0]"
"('R Ashwin', 'R Vinay Kumar')","[0, 3, 0, 0, 1, 0, 0, 0]"
"('SPD Smith', 'VY Mahesh')","[2, 0, 0, 0, 1, 0, 1, 0]"
"('MK Tiwary', 'AJ Tye')","[3, 3, 1, 0, 0, 0, 0, 1]"
"('CA Pujara', 'MM Patel')","[2, 1, 0, 0, 2, 0, 0, 0]"
"('KS Williamson', 'PJ Cummins')","[6, 4, 3, 0, 1, 0, 1, 0]"
"('P Negi', 'YS Chahal')","[0, 1, 0, 0, 0, 0, 1, 0]"
"('SA Asnodkar', 'DP Nannes')","[2, 0, 0, 0, 0, 0, 0, 1]"
"('PR Shah', 'P Parameswaran')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('PP Chawla', 'P Negi')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('MC Juneja', 'S Badree')","[1, 1, 1, 0, 0, 0, 0, 0]"
"('J Botha', 'AD Mathews')","[0, 1, 1, 0, 1, 0, 0, 0]"
"('IK Pathan', 'S Dhawan')","[2, 0, 0, 0, 0, 0, 0, 0]"
"('CA Pujara', 'A Kumble')","[3, 2, 0, 0, 0, 0, 0, 0]"
"('V Kohli', 'CL White')","[0, 1, 1, 0, 1, 0, 1, 0]"
"('G Gambhir', 'Harmeet Singh')","[1, 1, 1, 0, 2, 0, 1, 0]"
"('M Rawat', 'VY Mahesh')","[0, 0, 0, 0, 1, 0, 0, 0]"
"('AS Raut', 'RP Singh')","[0, 2, 1, 0, 0, 0, 0, 0]"
"('SP Narine', 'MJ McClenaghan')","[1, 0, 0, 0, 0, 0, 0, 1]"
"('BJ Hodge', 'B Lee')","[6, 2, 2, 0, 4, 0, 2, 1]"
"('F du Plessis', 'MN Samuels')","[8, 6, 1, 0, 1, 0, 0, 1]"
