MK Tiwary,DS Kulkarni,8,6,2,0,1,0,1,1
S Dhawan,DS Kulkarni,29,20,4,0,13,0,1,2
S Dhawan,DR Smith,3,2,0,0,2,0,0,1
MK Tiwary,DR Smith,10,8,0,0,1,0,0,0
MK Tiwary,ST Jayasuriya,2,5,1,0,1,0,0,0
S Dhawan,ST Jayasuriya,0,1,1,0,0,0,0,0
TM Dilshan,DR Smith,6,3,1,0,1,0,1,1
KD Karthik,DR Smith,5,7,2,0,4,0,0,0
KD Karthik,ST Jayasuriya,2,5,2,0,1,0,1,0
MK Tiwary,SM Pollock,0,1,0,0,1,0,0,0
KD Karthik,SM Pollock,3,3,2,0,0,0,0,1
KD Karthik,A Nehra,14,14,1,0,6,0,1,4
MF Maharoof,A Nehra,3,2,0,0,2,0,0,0
KD Karthik,DS Kulkarni,4,4,0,0,0,0,2,1
MF Maharoof,DS Kulkarni,2,0,0,0,2,0,0,0
MF Maharoof,ST Jayasuriya,3,3,1,0,1,0,0,0
PA Patel,GD McGrath,4,2,0,0,0,0,0,0
PA Patel,Mohammad Asif,1,1,0,0,1,0,0,0
PA Patel,VY Mahesh,3,1,0,0,2,0,0,0
PA Patel,PJ Sangwan,3,4,1,0,3,0,0,1
PA Patel,Shoaib Malik,1,1,0,0,0,0,0,0
PA Patel,V Sehwag,1,0,0,0,0,0,0,1
JA Morkel,GD McGrath,1,0,0,0,1,0,0,1
JA Morkel,VY Mahesh,4,2,0,0,1,0,0,0
JA Morkel,PJ Sangwan,6,4,0,0,1,0,2,1
JA Morkel,Mohammad Asif,0,1,0,0,1,0,0,0
SK Raina,Mohammad Asif,1,3,0,0,0,0,0,0
SK Raina,PJ Sangwan,9,7,2,0,1,0,2,2
JA Morkel,R Bhatia,1,2,0,0,0,0,0,1
G Gambhir,M Ntini,2,4,0,0,2,0,0,0
V Sehwag,M Ntini,6,2,0,0,1,0,1,0
V Sehwag,MS Gony,7,7,2,1,4,0,2,2
G Gambhir,MS Gony,11,13,3,0,7,0,1,2
G Gambhir,JA Morkel,32,24,5,0,16,0,0,1
V Sehwag,Joginder Sharma,4,2,2,0,6,0,1,1
G Gambhir,Joginder Sharma,1,3,1,0,0,0,1,0
G Gambhir,M Muralitharan,13,21,3,0,6,0,0,0
V Sehwag,M Muralitharan,8,7,0,0,3,0,0,1
V Sehwag,JA Morkel,21,13,1,0,8,0,2,1
AB de Villiers,Joginder Sharma,1,6,0,0,0,0,0,0
AB de Villiers,M Muralitharan,9,11,6,0,1,0,1,0
AB de Villiers,MS Gony,7,8,4,0,3,0,2,1
S Dhawan,MS Gony,6,5,0,0,1,0,0,1
S Dhawan,M Ntini,1,2,0,0,0,0,0,0
AB de Villiers,M Ntini,1,1,1,0,0,0,0,0
S Dhawan,M Muralitharan,20,14,3,0,4,0,0,0
AB de Villiers,JA Morkel,11,10,4,0,3,0,1,3
S Dhawan,JA Morkel,9,12,4,1,7,0,0,1
R Dravid,RP Singh,15,12,3,0,4,0,1,0
R Dravid,DS Kulkarni,8,8,0,0,2,0,0,1
SR Watson,DS Kulkarni,13,7,3,0,4,0,2,1
SR Watson,SL Malinga,18,7,2,0,10,0,5,1
STR Binny,DS Kulkarni,5,4,1,0,0,0,0,0
SR Watson,Harbhajan Singh,19,11,1,0,4,0,2,2
STR Binny,Harbhajan Singh,12,9,2,1,5,0,2,0
STR Binny,DR Smith,0,2,1,0,0,0,0,0
SR Watson,DR Smith,5,5,1,0,1,0,1,0
SR Watson,KA Pollard,8,4,0,0,2,0,2,2
STR Binny,KA Pollard,2,0,0,0,0,0,0,2
OA Shah,KA Pollard,9,8,1,0,3,0,3,0
OA Shah,JEC Franklin,5,4,0,1,1,0,1,0
SR Watson,JEC Franklin,0,2,1,0,0,0,0,0
AL Menaria,Harbhajan Singh,5,4,0,0,1,0,0,0
OA Shah,Harbhajan Singh,3,6,2,0,2,0,1,0
AL Menaria,KA Pollard,2,4,0,0,1,0,1,1
AL Menaria,RP Singh,2,2,0,0,1,0,1,0
OA Shah,RP Singh,2,4,0,0,0,0,0,0
OA Shah,SL Malinga,2,9,3,0,1,0,0,1
AL Menaria,SL Malinga,3,3,0,0,0,0,0,0
AL Menaria,DS Kulkarni,3,1,1,0,0,0,0,1
OA Shah,DS Kulkarni,0,1,0,0,0,0,0,0
SR Tendulkar,A Chandila,4,4,0,0,0,0,0,1
DR Smith,A Chandila,1,3,0,0,0,0,3,0
DR Smith,SR Watson,16,11,0,0,3,0,1,0
SR Tendulkar,SW Tait,11,6,1,0,3,0,0,0
